chain	nominal_mass	empirical_coverage	mean_set_size	median_set_size
TRA	0.5	0.5902	1.83	1
TRA	0.6	0.6454	2.29	2
TRA	0.7	0.6982	2.89	2
TRA	0.8	0.7567	3.83	2
TRA	0.9	0.8223	5.66	3
TRA	0.95	0.8685	7.67	6
TRA	0.99	0.9184	12.66	14
TRA	0.995	0.9279	14.81	17
TRA	0.999	0.9407	19.41	24
